,Date,Index Name,Value,Name
435,1988-09-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.1,CPIH
3424,1988-09-01,RECREATION & CULTURE,75.8,CPIH
8975,1988-09-01,EDUCATION,13.1,CPI
2570,1988-09-01,TRANSPORT,42.3,CPIH
1289,1988-09-01,"HOUSING, WATER AND FUELS",33.4,CPIH
6840,1988-09-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.8,CPI
5132,1988-09-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.8,CPI
5559,1988-09-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPI
862,1988-09-01,CLOTHING AND FOOTWEAR,198.6,CPIH
7267,1988-09-01,HEALTH,39.0,CPI
6413,1988-09-01,"Housing, water, electricity, gas and other fuels",40.8,CPI
7694,1988-09-01,TRANSPORT,42.1,CPI
4705,1988-09-01,MISCELLANEOUS GOODS AND SERVICES,47.0,CPIH
3851,1988-09-01,EDUCATION,13.1,CPIH
8549,1988-10-01,RECREATION & CULTURE,75.7,CPI
6841,1988-10-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.9,CPI
9403,1988-10-01,"HOTELS, CAFES AND RESTAURANTS",34.6,CPI
5560,1988-10-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.1,CPI
4279,1988-10-01,"HOTELS, CAFES AND RESTAURANTS",34.5,CPIH
8976,1988-10-01,EDUCATION,13.1,CPI
436,1988-10-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.2,CPIH
7695,1988-10-01,TRANSPORT,42.2,CPI
3425,1988-10-01,RECREATION & CULTURE,76.1,CPIH
2571,1988-10-01,TRANSPORT,42.4,CPIH
6414,1988-10-01,"Housing, water, electricity, gas and other fuels",41.3,CPI
1717,1988-10-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.6,CPIH
5987,1988-10-01,CLOTHING AND FOOTWEAR,201.9,CPI
9830,1988-10-01,MISCELLANEOUS GOODS AND SERVICES,47.7,CPI
4706,1988-10-01,MISCELLANEOUS GOODS AND SERVICES,47.2,CPIH
5133,1988-10-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.8,CPI
2998,1988-10-01,COMMUNICATION,98.6,CPIH
3852,1988-10-01,EDUCATION,13.1,CPIH
9,1988-10-01,FOOD AND NON-ALCOHOLIC BEVERAGES,49.0,CPIH
1290,1988-10-01,"HOUSING, WATER AND FUELS",33.6,CPIH
2144,1988-10-01,HEALTH,39.6,CPIH
863,1988-10-01,CLOTHING AND FOOTWEAR,202.5,CPIH
7268,1988-10-01,HEALTH,39.3,CPI
8122,1988-10-01,COMMUNICATION,97.6,CPI
864,1988-11-01,CLOTHING AND FOOTWEAR,203.7,CPIH
6842,1988-11-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.3,CPI
6415,1988-11-01,"Housing, water, electricity, gas and other fuels",41.6,CPI
8550,1988-11-01,RECREATION & CULTURE,75.8,CPI
7269,1988-11-01,HEALTH,39.5,CPI
5134,1988-11-01,FOOD AND NON-ALCOHOLIC BEVERAGES,49.2,CPI
2572,1988-11-01,TRANSPORT,42.3,CPIH
5561,1988-11-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.1,CPI
3426,1988-11-01,RECREATION & CULTURE,76.2,CPIH
2999,1988-11-01,COMMUNICATION,98.6,CPIH
7696,1988-11-01,TRANSPORT,42.2,CPI
3853,1988-11-01,EDUCATION,13.2,CPIH
8123,1988-11-01,COMMUNICATION,97.6,CPI
